x1, x2, y
0.2650 0.3984 0.5196
0.9202 0.2932 2.2487
0.8073 0.9094 2.4045
0.2688 0.7484 2.1337
0.5086 0.4708 2.3933
0.4335 0.0166 1.6076
0.0577 0.5202 0.3700
0.9683 0.6701 2.8854
0.8693 0.8895 3.1321
0.8033 0.4252 2.7943
0.7957 0.6087 2.4644
0.7075 0.9160 3.3878
0.8236 0.2525 0.9752
0.9609 0.1550 2.3490
0.5038 0.6503 1.9086
0.2486 0.7763 2.4757
0.2563 0.1432 0.6621
0.0619 0.6121 2.2622
0.0695 0.3570 0.5201
0.8337 0.0240 0.3733
0.8934 0.4646 1.5312
0.4049 0.8665 2.6390
0.8050 0.3630 2.1696
0.3700 0.9555 2.6348
0.1877 0.9826 2.3861
0.4801 0.6730 1.5391
0.7637 0.0007 0.8625
0.5211 0.0647 1.7200
0.0113 0.8428 1.3162
0.9879 0.6579 4.0220
0.4971 0.5499 2.1239
0.2219 0.3726 0.6224
0.7526 0.3763 2.6875
0.6689 0.2512 1.3250
0.7896 0.3533 2.7071
0.3269 0.6338 1.0311
0.2233 0.3814 1.4303
0.0437 0.7038 1.6567
0.1576 0.7616 1.1353
0.1453 0.7977 1.7564
0.7260 0.2121 0.8819
0.4453 0.2378 0.6619
0.5729 0.1374 0.8374
0.7048 0.8601 2.9791
0.7640 0.6129 3.0429
0.5414 0.4723 1.3643
0.4874 0.7843 2.1640
0.6243 0.7106 3.3427
0.4577 0.3145 2.1544
0.2003 0.2111 1.0988
0.2297 0.0440 1.3592
0.8817 0.0578 0.4718
0.9491 0.1154 1.7175
0.4736 0.8679 2.6567
0.6688 0.2882 2.4408
0.4887 0.9023 3.4231
0.8314 0.8425 2.7788
0.9064 0.7712 3.9674
0.7628 0.0987 2.0643
0.4383 0.3617 1.9119
0.1488 0.6603 2.1607
0.9716 0.3500 2.8643
0.7213 0.6072 1.5955
0.7351 0.1899 0.5582
0.7922 0.4216 2.4289
0.4706 0.8984 3.4948
0.8667 0.7136 3.8030
0.1686 0.6414 2.1820
0.2778 0.6699 2.9212
0.8120 0.6909 2.5966
0.9141 0.0670 0.9759
0.4396 0.3456 1.3886
0.2042 0.3041 1.8548
0.1719 0.7500 1.7258
0.7207 0.8718 2.2488
0.3049 0.5464 1.2369
0.0208 0.1919 1.0511
0.0205 0.7209 1.5991
0.6773 0.3293 2.2956
0.9185 0.2726 2.6242
0.0430 0.7172 2.1272
0.6786 0.1242 0.5932
0.1027 0.7008 1.8065
0.4680 0.7094 2.9987
0.9080 0.6099 2.2397
0.7085 0.1742 1.0863
0.6474 0.4491 1.7198
0.7885 0.3626 1.1059
0.0039 0.7060 2.2647
0.3884 0.3224 1.3164
0.6954 0.0161 2.0488
0.3158 0.3285 1.3725
0.2491 0.1947 1.8263
0.9705 0.7052 3.2963
0.8266 0.7993 3.6348
0.1298 0.3854 2.0706
0.4324 0.7814 2.0184
0.2997 0.0171 1.0458
0.6951 0.5220 1.4179
0.5756 0.9976 4.1849
0.6630 0.8696 2.7808
0.0112 0.3855 0.0633
0.8457 0.0831 2.1353
0.7836 0.6310 1.8076
0.1218 0.8912 1.8476
0.8746 0.8955 3.8828
0.0631 0.4933 0.7568
0.0610 0.9789 2.7538
0.0248 0.2703 1.6322
0.4614 0.5880 2.6419
0.7869 0.1149 1.9447
0.4392 0.0639 0.3781
0.3610 0.9377 2.1356
0.9529 0.3926 2.3690
0.5380 0.2436 2.2174
0.7358 0.5413 2.3251
0.0920 0.3868 0.0701
0.7508 0.8196 2.7301
0.2243 0.1173 0.6955
0.0196 0.4224 0.1045
0.4418 0.6953 1.6437
0.6298 0.3249 1.7058
0.5552 0.5113 2.2808
0.8085 0.6175 3.5578
0.9525 0.9471 2.8100
0.5155 0.6288 2.5852
0.6117 0.8514 3.3165
0.5549 0.8447 2.2726
0.8920 0.6665 2.3226
0.7642 0.1098 1.5493
0.3660 0.3070 1.9688
0.8374 0.5389 1.6554
0.8364 0.1415 1.1819
0.2841 0.1529 0.4467
0.4592 0.1457 1.4221
0.3524 0.5510 2.1459
0.1881 0.8923 3.2019
0.2381 0.4112 0.6924
0.4113 0.1145 0.6411
0.4857 0.7833 3.1867
0.3984 0.6727 2.8302
0.3291 0.1077 -0.2155
0.9649 0.8272 3.9962
0.0204 0.8035 1.2852
0.2135 0.6001 2.2672
0.4335 0.8546 3.6899
0.3725 0.1959 1.0651
0.8404 0.4985 1.4875
0.1406 0.8678 2.2268
0.0886 0.0317 -0.5601
0.7115 0.5882 3.4536
0.4036 0.6252 2.7030
0.2373 0.3000 1.0181
0.9877 0.6021 3.0255
0.7317 0.0394 1.3123
0.8643 0.1826 0.8559
0.7774 0.5387 1.7025
0.7791 0.5684 3.4201
0.4575 0.7211 2.9373
0.4164 0.7929 2.7237
0.1735 0.3665 1.0503
0.2422 0.5983 1.4844
0.8366 0.8974 3.7701
0.9285 0.2144 2.7939
0.1300 0.4548 2.2805
0.9438 0.9356 2.6994
0.3087 0.6597 1.2178
0.2774 0.7974 1.9476
0.1743 0.2634 0.3672
0.9006 0.7694 3.9906
0.9836 0.2226 2.4633
0.5089 0.9084 2.5746
0.5610 0.4174 1.2227
0.4156 0.6556 2.2714
0.5842 0.0246 0.6617
0.2008 0.9957 2.9017
0.4473 0.9864 3.1768
0.6580 0.2237 1.7546
0.3573 0.6667 1.8997
0.1791 0.9416 2.6876
0.9789 0.6421 2.2171
0.3752 0.0206 0.8090
0.3665 0.9014 2.8729
0.3107 0.6433 1.7780
0.3202 0.9091 2.4480
0.9739 0.2540 2.0557
0.6280 0.8876 3.4289
0.5190 0.9693 2.8601
0.0214 0.3748 0.9062
0.2244 0.8765 1.7890
0.1341 0.8298 2.5119
0.5176 0.3561 0.7165
0.8218 0.1277 0.9783
0.5305 0.3437 1.0513
0.0320 0.2624 1.5012
0.9159 0.4523 3.1011
0.4338 0.4253 2.1910
0.5816 0.1679 1.7157
0.9432 0.4691 2.3753
0.6670 0.7534 3.5358
0.1569 0.7672 1.3988
0.4693 0.5281 1.7150
0.9825 0.4968 2.1476
0.6734 0.7521 2.6163
0.2807 0.8601 2.3691
0.4532 0.2303 0.8029
0.9330 0.5759 3.5459
0.7397 0.3671 2.8717
0.5499 0.6824 1.4666
0.8538 0.4182 2.7779
0.6320 0.7046 1.6495
0.2259 0.9827 1.9202
0.4053 0.8777 2.3736
0.8928 0.6602 2.7466
0.6116 0.1353 0.2835
0.8614 0.8513 2.9677
0.4230 0.4139 1.6141
0.0460 0.5291 0.9331
0.4813 0.7162 1.9957
0.4297 0.9169 2.4463
0.5239 0.5630 2.0099
0.9042 0.7615 3.8288
0.5008 0.6877 3.1319
0.7526 0.0759 1.1591
0.2683 0.3311 0.2072
0.5719 0.9473 3.8886
0.0161 0.1791 1.0399
0.1658 0.2865 1.2454
0.4883 0.6396 1.4352
0.2338 0.3480 2.0906
0.7327 0.7427 2.2993
0.3045 0.0521 0.2058
0.1161 0.1640 0.6329
0.1940 0.5787 1.9836
0.7896 0.8296 2.3970
0.9667 0.1602 2.6723
0.4234 0.9638 3.8199
0.6326 0.6360 3.0730
0.6483 0.5031 2.3600
0.9996 0.3741 2.7038
0.7132 0.2666 1.6949
0.0094 0.9342 2.6944
0.1169 0.1350 1.3833
0.0892 0.7995 1.0891
0.0871 0.9583 2.3477
0.4946 0.4984 2.3001
0.7054 0.6238 2.9988
0.2078 0.8242 3.0412
0.2537 0.2839 1.3017
0.2645 0.7570 3.2009
0.1299 0.2732 0.3350
0.8091 0.2243 2.2324
0.3161 0.2499 1.1970
0.4739 0.5136 2.4888
0.9270 0.4679 2.5793
0.9211 0.5988 3.7217
0.5077 0.8689 1.9946
0.2481 0.9061 2.4164
0.6870 0.6406 2.2041
0.5615 0.6685 2.6874
0.9742 0.5320 1.9860
0.9656 0.8890 3.1355
0.0377 0.6795 1.5540
0.7422 0.0439 0.2611
0.5019 0.2056 1.0841
0.0177 0.0067 0.7000
0.3933 0.1057 1.0532
0.5886 0.2037 0.9226
0.5639 0.1476 1.6664
0.8944 0.3211 2.0223
0.3055 0.0032 0.6028
0.4703 0.6910 1.9588
0.3132 0.8275 3.4064
0.3364 0.3462 0.9263
0.9382 0.1507 2.5297
0.9860 0.3680 1.4585
0.6318 0.4014 1.3360
0.9604 0.1519 1.0486
0.0287 0.9654 2.4732
0.0011 0.3235 0.6017
0.1765 0.8173 1.9923
0.5844 0.3628 1.7894
0.6213 0.6656 2.6443
0.1619 0.1388 0.4477
0.8285 0.2228 2.3575
0.1810 0.6507 1.3856
0.0253 0.0444 0.4693
0.4603 0.6153 2.5264
0.5447 0.1211 0.5105
0.4011 0.5966 2.8960
0.8780 0.8362 2.6459
0.0208 0.9436 1.9024
0.4760 0.4545 1.0910
0.0512 0.5132 0.8837
0.6013 0.3234 1.5706
0.8093 0.8020 3.9312
0.0325 0.3912 0.2317
0.5599 0.8505 2.9842
0.6180 0.2934 0.9325
0.5674 0.5972 1.3820
0.5118 0.4023 1.1070
0.1667 0.6466 1.0883
0.1925 0.8302 2.7836
0.8695 0.2725 1.2879
0.1907 0.8928 1.6182
0.9252 0.6297 2.5252
0.7144 0.7971 2.7452
0.5963 0.8965 3.9593
0.6019 0.1354 1.5082
0.7446 0.8636 3.5452
0.4031 0.1605 0.8820
0.2566 0.2644 0.6522
0.6499 0.7567 3.4472
0.2221 0.6203 0.9822
0.1444 0.2786 0.8867
0.6939 0.3043 1.7684
0.8186 0.8131 2.6639
0.8489 0.0662 2.2903
0.5727 0.9633 4.0616
0.8143 0.9310 3.2033
0.8587 0.9445 4.4159
0.4099 0.6792 2.2744
0.5656 0.2753 1.8273
0.8687 0.5035 2.2630
0.2635 0.1405 0.5282
0.8315 0.1035 1.6507
0.9141 0.8949 4.4325
0.5122 0.7003 2.7341
0.2941 0.1607 0.2391
0.4583 0.8276 3.1822
0.2357 0.2001 0.3961
0.9642 0.4782 2.2267
0.1805 0.8701 2.2316
0.0055 0.9753 2.1753
0.1495 0.7869 2.7442
0.4845 0.0623 0.8864
0.7099 0.5455 1.4955
0.7418 0.7943 2.1902
0.4891 0.0787 1.6583
0.6678 0.2382 0.7073
0.1205 0.1619 1.2333
0.0568 0.4603 0.7991
0.5156 0.5653 1.7751
0.7613 0.7371 3.5606
0.1071 0.7814 1.5606
0.9241 0.7831 4.0756
0.5635 0.7082 3.4648
0.7524 0.6504 3.3817
0.0519 0.3275 0.4323
0.0469 0.1389 1.3662
0.1090 0.5259 1.6224
0.0461 0.2080 1.4886
0.0329 0.2400 1.5364
0.2066 0.7204 1.3928
0.4112 0.0446 -0.2684
0.9399 0.6764 3.7333
0.6899 0.9854 4.0472
0.8675 0.9447 3.4916
0.3664 0.2617 2.1355
0.6536 0.0201 0.4816
0.8962 0.3709 1.7345
0.3941 0.5718 2.2162
0.5404 0.4081 1.7912
0.1004 0.8402 1.2411
0.3345 0.0207 -0.4447
0.1394 0.1798 -0.0046
0.1694 0.6745 2.3203
0.7712 0.0619 0.3232
0.9822 0.8490 2.5893
0.4520 0.9361 2.5448
0.8330 0.4260 2.6325
0.7723 0.0789 1.4018
0.7839 0.5486 3.3599
0.6429 0.8146 3.3900
0.5560 0.5900 2.1631
0.7692 0.1866 2.2039
0.1574 0.5516 0.8508
0.5519 0.8746 1.9643
0.2209 0.2186 0.9938
0.8430 0.0071 0.8410
0.9693 0.8381 4.1733
0.5102 0.1702 1.0019
0.0491 0.4065 1.9906
0.8892 0.1113 1.7114
0.4947 0.8790 2.6120
0.2277 0.5991 0.9205
0.1904 0.3453 1.8192
0.8213 0.1357 0.6715
0.7962 0.5969 1.8964
0.7354 0.8566 2.7397
0.7692 0.7623 3.8211
0.3704 0.7532 2.4649
0.6928 0.1036 1.9917
0.5430 0.0955 0.8806
0.2230 0.1519 0.7465
0.5701 0.8962 2.8096
0.5721 0.0466 0.8828
0.5466 0.6329 1.8993
0.2366 0.5650 2.4488
0.4880 0.8320 3.2553
0.3320 0.7883 2.5449
0.3314 0.4753 2.0939
0.2781 0.3486 1.9032
0.0536 0.5368 0.8412
0.1112 0.6389 1.1745
0.3692 0.5388 2.1208
0.8048 0.7153 3.4358
0.0922 0.9204 2.8392
0.1127 0.6598 1.7532
0.2092 0.3862 1.6892
0.9721 0.3865 1.5347
0.3167 0.8289 2.6692
0.6890 0.5196 2.1946
0.8724 0.5340 2.8760
0.1260 0.9249 2.5589
0.3880 0.6728 3.0790
0.3122 0.5487 1.0889
0.7964 0.6405 2.3179
0.4176 0.0598 0.2532
0.1712 0.2760 1.1997
0.2413 0.7140 1.3559
0.6257 0.4916 2.1495
0.6965 0.7101 1.7407
0.4572 0.7621 3.3602
0.0009 0.3178 0.4517
0.9449 0.9312 2.8567
0.3277 0.5426 1.6639
0.1411 0.9536 3.0318
0.1362 0.7003 1.3635
0.4422 0.8816 2.8253
0.1935 0.8189 2.3496
0.3578 0.3175 0.7761
0.5110 0.1305 1.5177
0.7111 0.5149 3.2377
0.2470 0.3731 0.8775
0.3944 0.1936 1.4913
0.0207 0.9424 2.2252
0.3320 0.7198 2.9010
0.5828 0.2212 1.5146
0.8140 0.0822 2.2221
0.0369 0.7451 1.9246
0.9843 0.9816 4.2302
0.3672 0.3820 2.1274
0.0135 0.7535 1.9272
0.0905 0.8935 1.9220
0.8424 0.9879 2.8130
0.2546 0.1655 -0.0046
0.6251 0.7747 3.0124
0.8474 0.8105 3.5215
0.3977 0.8413 2.4910
0.6966 0.2470 2.5276
0.1451 0.9472 3.0091
0.5431 0.5143 2.8517
0.7561 0.9177 3.8831
0.6362 0.4403 1.7050
0.9103 0.1796 1.3359
0.2024 0.2331 1.4097
0.2456 0.1182 -0.2518
0.0855 0.3499 0.4929
0.6933 0.7142 3.2326
0.0832 0.4079 1.9003
0.1456 0.2860 1.4611
0.1232 0.1321 0.5265
0.0592 0.9175 2.1202
0.3966 0.7959 2.5073
0.4863 0.2962 1.1368
0.6571 0.6413 1.7902
0.3400 0.1192 1.2322
0.0703 0.9083 3.0240
0.8427 0.9314 3.9160
0.3002 0.5774 1.4035
0.4074 0.6824 3.0877
0.7900 0.5098 2.2507
0.6639 0.1314 1.0195
0.8192 0.2224 1.6051
0.1483 0.7842 1.5789
0.7247 0.6257 2.4008
0.3917 0.7764 2.4089
0.8977 0.1522 2.6399
0.9448 0.5722 2.2467
0.3542 0.3335 1.8047
0.0739 0.0509 0.5922
0.1866 0.7064 1.6313
0.8109 0.8115 3.0122
0.0587 0.9034 3.1194
0.9920 0.3679 2.2027
0.0389 0.8500 1.6228
0.8787 0.8703 3.9162
0.1362 0.4180 0.8645
0.4443 0.7552 3.2058
0.6521 0.8650 2.9040
0.9785 0.2821 2.9866
0.4706 0.9254 3.3555
0.6866 0.9741 3.9263
0.8746 0.1789 2.1807
0.1337 0.4552 0.6929
0.2970 0.4841 2.3469
0.6685 0.0395 1.5672
0.3226 0.3867 2.2549
0.1619 0.9443 3.2318
0.6013 0.5447 2.3596
0.6259 0.0988 0.9329
0.3969 0.2325 1.5453
0.5174 0.9740 2.5903
0.3352 0.4626 1.1374
0.7418 0.3948 1.1236
0.6748 0.9349 3.1062
0.0304 0.3426 0.1577
0.8498 0.3265 2.1958
0.8856 0.9602 4.2141
0.4921 0.3108 0.5140
0.4091 0.4500 0.6916
0.6180 0.0134 0.0090
0.9492 0.3272 2.5125
0.7801 0.3414 2.1870
0.7119 0.2593 2.0255
0.9163 0.8448 4.3368
0.0103 0.1269 0.4584
0.2324 0.4266 1.6415
0.7387 0.8402 2.1294
0.1049 0.3979 0.6144
0.8787 0.8920 3.7045
0.9858 0.4418 3.4768
0.0879 0.3536 0.2541
0.4767 0.1560 1.3074
0.2731 0.7396 2.3010
0.7911 0.2515 1.4584
0.1113 0.7297 1.3430
0.3848 0.8240 2.7088
0.0303 0.5560 1.4899
0.7171 0.7800 2.9758
0.0896 0.0949 0.6846
0.8104 0.9326 3.5831
0.2386 0.4244 1.4303
0.6828 0.4044 2.0677
0.4136 0.0099 0.6195
0.1320 0.5748 0.9005
0.0346 0.0140 0.1050
0.6664 0.8039 2.5147
0.7732 0.6017 1.7504
0.3794 0.3947 1.2364
0.3319 0.4923 0.8758
0.6883 0.0268 0.3918
0.0754 0.7220 1.3179
0.9079 0.0013 1.3955
0.7580 0.2727 0.9502
0.9674 0.0696 1.1605
0.1135 0.4922 0.9155
0.4843 0.7421 2.7815
0.9058 0.9205 3.3793
0.7463 0.0403 0.4217
0.3793 0.1560 0.8633
0.2345 0.8229 2.9927
0.4111 0.9199 3.5133
0.3662 0.9482 2.2308
0.7208 0.4851 2.7445
0.6062 0.9075 3.8149
0.1327 0.3841 1.8534
0.2161 0.4856 1.4914
0.2562 0.6406 2.3448
0.0408 0.5241 1.3413
0.0644 0.3768 0.0096
0.7308 0.2710 1.2605
0.5520 0.9688 2.6694
0.7065 0.6832 2.0706
0.4666 0.9134 2.1043
0.2558 0.2685 0.7200
0.3759 0.3196 0.8093
0.8584 0.6920 3.9106
0.3789 0.2017 0.3378
0.4251 0.8957 2.4766
0.6485 0.0122 0.8283
0.3618 0.7130 1.5570
0.6309 0.7425 2.0942
0.9766 0.9356 3.4780
0.3579 0.6522 2.7857
0.0508 0.6847 2.3305
0.6421 0.7911 2.5907
0.3656 0.5031 2.3955
0.5239 0.1752 0.6193
0.5648 0.8008 3.1727
0.1318 0.6492 1.2392
0.0903 0.4030 0.9321
0.3124 0.8056 2.4848
0.4211 0.6626 1.6389
0.6039 0.1676 0.8103
0.7296 0.6696 1.7721
0.9173 0.7009 3.1376
0.5909 0.0438 1.1036
0.7251 0.8387 4.0059
0.5901 0.0159 1.6595
0.3248 0.4380 0.6072
0.3998 0.7031 2.3710
0.3726 0.6263 2.7945
0.3838 0.4099 1.4842
0.8749 0.1032 1.1276
0.8711 0.7675 2.6777
0.6950 0.7075 2.8366
0.5817 0.5539 1.6856
0.0145 0.3805 1.5236
0.3603 0.1277 1.1673
0.0319 0.7696 1.9448
0.0268 0.0250 -0.4194
0.8413 0.2652 1.5961
0.9282 0.8115 2.9619
0.9252 0.3434 2.7711
0.3426 0.9609 2.6814
0.2172 0.5466 2.2168
0.6843 0.0096 1.4926
0.1057 0.7877 2.9617
0.3208 0.9859 2.8607
0.2595 0.0262 1.3320
0.7541 0.2533 2.1318
0.1156 0.1633 0.4731
0.3128 0.7797 2.2179
0.0219 0.4527 0.5446
0.3907 0.4411 1.8139
0.4535 0.8894 2.9179
0.8553 0.5553 3.0642
0.1825 0.7168 1.0174
0.8077 0.7715 3.8345
0.3630 0.3110 0.4145
0.0468 0.8649 2.3916
0.4376 0.1933 0.1906
0.0946 0.2325 0.3045
0.6705 0.1236 1.6087
0.9434 0.8790 2.8288
0.7027 0.2768 1.8219
0.6403 0.3687 0.9992
0.0896 0.2125 1.3339
0.7776 0.0389 1.4292
0.3725 0.4402 2.2681
0.1513 0.1923 0.4942
0.6156 0.4349 2.1607
0.3226 0.0203 0.2050
0.7078 0.2590 1.3507
0.3632 0.1276 1.1233
0.1105 0.1101 0.8364
0.3702 0.5183 1.5930
0.0939 0.1367 -0.4670
0.1912 0.1361 1.0657
0.6072 0.5621 1.5794
0.7964 0.6430 2.1175
0.2586 0.3514 1.7289
0.5749 0.2029 1.6387
0.6020 0.0319 1.6398
0.9682 0.2940 1.9542
0.4584 0.0669 0.9161
0.7677 0.7138 2.6203
0.9006 0.0244 2.0121
0.4975 0.8797 3.2214
0.5535 0.6215 2.3929
0.3399 0.3746 1.4362
0.9251 0.6678 2.5859
0.2573 0.7955 1.9054
0.7221 0.0572 2.0844
0.2161 0.2607 0.3313
0.8355 0.2316 0.9808
0.6462 0.9363 2.6496
0.9800 0.5665 2.1987
0.0634 0.9113 1.6367
0.9460 0.7987 4.0249
0.9015 0.1093 1.8083
0.0284 0.3802 0.7068
0.4817 0.5496 1.6360
0.9362 0.8239 3.4239
0.7159 0.7028 3.7400
0.8542 0.6028 1.8335
0.0489 0.0134 -0.2409
0.6402 0.8305 2.1279
0.0074 0.5206 1.2233
0.9278 0.6629 3.0072
0.5150 0.2362 0.4290
0.9761 0.6059 2.5837
0.5921 0.5682 1.9210
0.0534 0.5346 1.6056
0.0582 0.5304 1.4429
0.3215 0.5890 1.0683
0.5719 0.2523 1.8310
0.3515 0.5432 1.7606
0.4747 0.3814 1.7448
0.2057 0.8901 2.8637
0.4909 0.6883 2.9931
0.6319 0.0610 0.5110
0.4044 0.3615 2.2216
0.1095 0.4305 1.4135
0.8860 0.2464 2.2084
0.3457 0.2576 1.3729
0.4407 0.6575 2.7228
0.2578 0.1572 -0.1776
0.4425 0.8140 3.2953
0.2147 0.2306 1.4570
0.7007 0.6231 2.8442
